outfit_name,category,subcategory,size,body_shape,color,image_path,style,gendered,brand,item_link
floral dress,dress,maxi dress,medium,rectangle,blue,images/dress/2.png,casual,feminine,,
plunging backless,dress,formal dress,small,apple-shaped,navy,images/dress/3.png,classic,feminine,,
silk fitted dress,dress,midi dress,medium,pear-shaped,black,images/dress/4.png,minimalist,feminine,,
sleeveless long dress,dress,casual dress,medium,inverted triangle,green,images/dress/5.png,vintage,feminine,,
small backpack,accessory,backpack, , ,pink,images/accessory/2.png,minimalist,neutral,,
cap ,accessory,hats, , ,blue,images/accessory/3.png,casual,neutral,,
soft scarft ,accessory,scarft, , ,peach,images/accessory/4.png,preppy,neutral,,
leather belt,accessory,belt, , ,brown,images/accessory/5.png,vintage,neutral,,
collared polo shirt,top,shirt,small,inverted triangle,blue,images/top/6.png,casual,neutral,,
round neck summer t-shirt,top,shirt,large,rectangle,white,images/top/7.png,vintage,neutral,,
frank ocean shirt,top,shirt,medium,hourglass,white,images/top/8.png,streetwear,neutral,,
sade printed top,top,shirt,small,hourglass,white,images/top/9.png,vintage,neutral,,
button-down short sleeve shirt,top,shirt,large,inverted triangle,green,images/top/10.png,casual,masculine,,
y2k cropped long sleeve shirt,top,shirt,large,pear-shaped,green,images/top/11.png,vintage,feminine,,
round neck slim fit shirt,top,shirt,small,hourglass,white,images/top/12.png,casual,feminine,,
bonnie ribboned blouse,top,blouse,medium,pear-shaped,cream,images/top/13.png,vintage,feminine,,
floral cropped babydoll top,top,blouse,small,apple-shaped,peach,images/top/14.png,casual,feminine,,
buttoned racerback cropped top,top,tank,large,hourglass,black,images/top/15.png,casual,feminine,,
men solid tank top,top,tank,large,inverted triangle,white,images/top/16.png,minimalist,masculine,,
striped sweater,top,sweater,large,inverted triangle,gray,images/top/17.png,casual,neutral,,
men turtleneck sweater,top,sweater,medium,inverted triangle,green,images/top/18.png,casual,masculine,,
zipped basic hoodie,top,hoodie,large,inverted triangle,black,images/top/19.png,casual,neutral,,
graphic drawstring hoodie,top,hoodie,large,inverted triangle,black,images/top/20.png,casual,neutral,,
brown leather jacket,outerwear,jacket,large,inverted triangle,brown,images/top/5.png,vintage,neutral,,
minimal print graphic hoodie,outerwear,jacket,medium,rectangle,black,images/top/6.png,streetwear,neutral,,
double collar trench coat,outerwear,coat,small,inverted triangle,red,images/top/7.png,vintage,masculine,,
oversized trench coat,outerwear,coat,large,pear-shaped,black,images/top/8.png,classic,feminine,,
cream single button coat,outerwear,coat,medium,pear-shaped,cream,images/top/9.png,minimalist,feminine,,
carhartt padded vest,outerwear,vest,small,apple-shaped,black,images/top/10.png,streetwear,neutral,,
full sleeve straight blazer,formalwear,blazer,large,rectangle,black,images/formalwear/6.png,vintage,neutral,,
slim fit men's blazer,formalwear,blazer,small,inverted triangle,blue,images/formalwear/7.png,casual,masculine,,
men classic tuxedo,formalwear,tuxedo,large,rectangle,black,images/formalwear/8.png,classic,masculine,,
wine red satin floor length dress,formalwear,evening gown,small,hourglass,red,images/formalwear/9.png,classic,feminine,,
origami infatuation cocktail dress,formalwear,cocktail dress,medium,hourglass,black,images/formalwear/10.png,classic,feminine,,
smooth leather platform shoes,footwear,boots, , ,black,images/footwear/6.png,vintage,neutral,,
basic casual sneakers,footwear,sneakers, , ,white,images/footwear/7.png,casual,neutral,,
fur calf boots,footwear,boots, , ,black,images/footwear/8.png,classic,feminine,,
flat heel slippers,footwear,flat, , ,brown,images/footwear/9.png,bohemian,neutral,,
ankle strap sandals,footwear,sandals, , ,white,images/footwear/10.png,casual,feminine,,
pointed-toe stiletto,footwear,heels, , ,black,images/footwear/11.png,classic,feminine,,
summer dress, dress,casual dress,medium,hourglass,green,images/dress/7.png,casual,feminine,,
sleeveless slim fitting sling dress,dress,casual dress,small,pear-shaped,green,images/dress/8.png,casual,feminine,,
twisted slit plunging dress,dress,midi dress,large,oval,black,images/dress/9.png,minimalist,feminine,,
draped slip satin dress,dress,mini dress,small,inverted triangle,black,images/dress/10.png, classic,feminine,,
ladies blue denim jean skirt,bottom,skirt,small,hourglass,blue,images/bottom/6.png,vintage,feminine,,
cargo shorts,bottom,shorts,large,inverted triangle,green,images/bottom/7.png,streetwear,neutral,,
wideleg cargo pants,bottom,pants,medium,pear-shaped,brown,images/bottom/8.png,vintage,neutral,,
mens straight cut trousers,bottom,pants,large,oval,cream,images/bottom/9.png,casual,masculine,,
washed denim straightcut jeans,bottom,jeans,medium,hourglass,blue,images/bottom/10.png,casual,masculine,,
low waist wideleg jeans,bottom,jeans,small,apple-shaped,blue,images/bottom/11.png,vintage,feminine,,
brown leather mini skirt,bottom,skirt,small,hourglass,brown,images/bottom/12.png,vintage,feminine,,
low boot cut medium wash jeans,bottom,jeans,large,hourglass,blue,images/bottom/13.png,vintage,feminine,,
brown straightcut pants,bottom,pants,small,hourglass,brown,images/bottom/14.png,casual,masculine,,
skinny washed distressed jeans,bottom,jeans,small,rectangle,blue,images/bottom/15.png,streetwear,masculine,,
spring summer pleated skirt,bottom,skirt,medium,hourglass,brown,images/bottom/16.png,vintage,feminine,,
high waist leather side slit skirt,bottom,skirt,large,inverted triangle,black,images/bottom/17.png,gothic,feminine,,
mens summer shorts,bottom,shorts,large,hourglass,green,images/bottom/18.png,casual,masculine,,
ladies slim fitted leggings,bottom,leggings,medium,hourglass,black,images/bottom/19.png,athleisure,feminine,,
mens summer laced shorts,bottom,shorts,large,hourglass,black,images/bottom/20.png,casual,masculine,,
mens gym workout shirt,activewear,gym wear,large,inverted triangle,black,images/activewear/5.png,athleisure,masculine,,
mens terno sportswear,activewear,sportswear,medium,rectangle,blue,images/activewear/6.png,athleisure,masculine,,
ladies terno slim running gear,activewear,running gear,small,pear-shaped,gray,images/activewear/7.png,athleisure,feminine,,
running swimming gear,activewear,sportswear,large,inverted triangle,black,images/activewear/8.png,athleisure,masculine,,
women fitted yoga pants,activewear,yoga wear,small,apple-shaped,black,images/activewear/9.png,athleisure,feminine,,
ladies zipped fitted gym top,activewear,gym wear,medium,hourglass,gray,images/activewear/10.png,athleisure,feminine,,
simple medium-sized backpack,accessory,backpack, , ,black,images/accessory/6.png,casual,neutral,,
mens solid color belt,accessory,belt, , ,black,images/accessory/7.png,classic,masculine,,
brown vintage belt,accessory,belt, , ,brown,images/accessory/8.png,vintage,neutral,,
mini formal handbag,accessory,handbag, , ,cream,images/accessory/9.png,classic,feminine,,
classy office shoulder bag,accessory,handbag, , ,black,images/accessory/10.png,casual,feminine,,
stylish shoulder and handbag,accessory,handbag, , ,pink,images/accessory/11.png,casual,feminine,,
classy stylish baguette bag,accessory,handbag, , ,black,images/accessory/12.png,classic,feminine,,
plain solid color leather handbag,accessory,handbag, , ,black,images/accessory/13.png,casual,feminine,,
mens simple shoulder bag,accessory,handbag, , ,black,images/accessory/15.png,casual,masculine,,
smooth leather shoulder bag,accessory,handbag, , ,black,images/accessory/16.png,vintage,neutral,,
mens office handcarry shoulder bag,accessory,handbag, , ,black,images/accessory/17.png,casual,neutral,,
retro brown leather office bag,accessory,handbag, , ,brown,images/accessory/19.png,vintage,neutral,,
the north face breeze brimmer hat,accessory,hat, , ,cream,images/accessory/31.png,casual,neutral,,
solid black baseball cap,accessory,hat, , ,black,images/accessory/32.png,casual,neutral,,
wideleg apple trouser,bottom,pants,medium,pear-shaped,black,images/bottom/21.png,casual,neutral,,
wideleg pleated trouser,bottom,pants,large,apple-shaped,black,images/bottom/22.png,classic,feminine,,
mid-waist straightcut old money pants,bottom,pants,medium,rectangle,cream,images/bottom/23.png,minimalist,masculine,,
multi-pocket cargo pants,bottom,pants,small,rectangle,white,images/bottom/24.png,streetwear,neutral,,
garterized multi-pocket baggy cargo pants,bottom,pants,medium,rectangle,grey,images/bottom/25.png,casual,neutral,,
skinny washed denim jeans,bottom,jeans,small,inverted triangle,blue,images/bottom/26.png,urban,feminine,,
brown straightcut mom jeans,bottom,jeans,medium,rectangle,brown,images/bottom/27.png,retro,feminine,,
fitted straightcut denim jeans,bottom,jeans,large,pear-shaped,blue,images/bottom/28.png,casual,feminine,,
blue high rise denim jeans,bottom,jeans,large,apple-shaped,blue,images/bottom/29.png,casual,feminine,,
wideleg midrise blue denim,bottom,jeans,medium,rectangle,blue,images/bottom/30.png,classic,feminine,,
basic versatile stretchy skirt,bottom,skirt,medium,hour-glass,black,images/bottom/31.png,minimalist,feminine,,
plain skirt with slit,bottom,skirt,medium,pear-shaped,black,images/bottom/32.png,gothic,feminine,,
summer high waist skirts,bottom,skirt,medium,hourglass,grey,images/bottom/33.png,casual,feminine,,
solid ruched bodycon summer skirt,bottom,skirt,small,hourglass,black,images/bottom/34.png,classic,feminine,,
tennis pleated school mini skirt,bottom,skirt,small,apple-shaped,black,images/bottom/35.png,athleisure,feminine,,
men's drawstring shorts,bottom,shorts,large,rectangle,green,images/bottom/36.png,minimalist,masculine,,
women's ripped denim shorts,bottom,shorts,small,hour-glass,blue,images/bottom/37.png,casual,feminine,,
nike sport shorts,bottom,shorts,small,rectangle,black,images/bottom/38.png,athleisure,neutral,,
vintage mom high waisted shorts,bottom,shorts,medium,inverted triangle,white,images/bottom/39.png,minimalist,feminine,,
drawstring short summer shorts,bottom,shorts,medium,rectangle,blue,images/bottom/40.png,streetwear,neutral,,
grey high waisted leggings,bottom,leggings,large,inverted triangle,gret,images/bottom/41.png,athleisure,feminine,,
black high waisted leggings,bottom,leggings,small,rectangle,black,images/bottom/42.png,athleisure,feminine,,
mid-rise stretch-jersey leggings,bottom,leggings,medium,inverted triangle,grey,images/bottom/43.png,athleisure,feminine,,
tights fitness leggings,bottom,leggings,small,rectangle,black,images/bottom/44.png,athleisure,feminine,,
full length slimfit leggings,bottom,leggings,small,hourglass,black,images/bottom/45.png,casual,feminine,,
cold shoulder ruffle trim dress,dress,casual dress,medium,pear-shaped,black,images/dress/11.png,casual,feminine,,
lace up front puff sleeve dress,dress,mini dress,small,hourglass,cream,images/dress/12.png,preppy,feminine,,
lace up front ruffle hem dress,dress,mini dress,medium,pear-shaped,black,images/dress/13.png,gothic,feminine,,
black lace overlay homecoming dress,dress,casual dress,medium,apple-shaped,black,images/dress/14.png,casual,feminine,,
plain white dress,dress,mini dress,small,inverted triangle,white,images/dress/15.png,casual,feminine,,
women's sleeveless v neck solid backless dress,dress,formal dress,small,hourglass,red,images/dress/16.png,classic,feminine,,
women's off shoulder wrapped dress,dress,maxi dress,medium,hourglass,blue,images/dress/17.png,vintage,feminine,,
almond jersey corset dress,dress,maxi dress,medium,pear-shaped,beige,images/dress/18.png,classic,feminine,,
women's vintage sleeveless v-neck cocktail dress,dress,midi dress,medium,inverted triangle,red,images/dress/19.png,retro,feminine,,
spaghetti strap scoop neck plain lace open back slit bodycon dress,dress,midi dress,small,hourglass,white,images/dress/20.png,classic,feminine,,
spaghetti strap bodycon ruched club dress,dress,midi dress,medium,pear-shaped,black,images/dress/21.png,casual,feminine,,
white plain maxi dress,dress,maxi dress,small,pear-shaped,white,images/dress/22.png,casual,feminine,,
summer lace bandage hollow out bodycon dress,dress,maxi dress,small,hourglass,black,images/dress/23.png,classic,feminine,,
one shoulder bowknot shoulder bandage dress,dress,mini dress,small,hourglass,black,images/dress/24.png,classic,feminine,,
keyhole cut out sheath dress,dress,casual dress,small,inverted triangle,black,images/dress/25.png,classic,feminine,,
emerald satin midi dress,dress,formal dress,medium,hourglass,green,images/dress/26.png,classic,feminine,,
orange sayin midi dress,dress,midi dress,small,hourglass,orange,images/dress/27.png,classic,feminine,,
brown bandage cut out asymmetrical midi dress,dress,midi dress,medium,apple-shaped,brown,images/dress/28.png,casual,feminine,,
black corset midi dress,dress,midi dress,small,hourglass,black,images/dress/29.png,casual,feminine,,
off shoulder v-neck bodycon,dress,formal dress,medium,pear-shaped,black,images/dress/30.png,classic,feminine,,
off shoulder long sleeve party dress,dress,mini dress,small,rectangle,blue,images/dress/31.png,free-spirited,feminine,,
sleevelesss summer party jean dress,dress,mini dress,small,hourglass,blue,images/dress/32.png,casual,feminine,,
wrapped neck mini dress jn blue,dress,mini dress,small,inverted triangle,blue,images/dress/33.png,romantic,feminine,,
floral ruffle dress,dress,casual dress,medium,rectangle,green,images/dress/34.png,casual,feminine,,
veja black canvas,footwear,sneakers, , ,black,images/footwear/12.png,streetwear,neutral,,
plain white casual sneakers,footwear,sneakers, , ,white,images/footwear/13.png,casual,neutral,,
nike blazer mid'77,footwear,sneakers, , ,white,images/footwear/14.png,streetwear,neutral,,
nike air jordan 1 retro high og satin red,footwear,sneakers, , ,red,images/footwear/15.png,streetwear,neutral,,
nike dunk mid panda,footwear,sneakers, , ,black,images/footwear/16.png,streetwear,neutral,,
brown zipped leather boots,footwear,boots, , ,brown,images/footwear/17.png,classic,neutral,,
black ankle boots,footwear,boots, , ,black,images/footwear/18.png,vintage,neutral,,
black slip on platform,footwear,boots, , ,black,images/footwear/19.png,vintage,neutral,,
wren platform boots,footwear,boots, , ,black,images/footwear/20.png,vintage,neutral,,
white wren platform boots,footwear,boots, , ,white,images/footwear/21.png,vintage,neutral,,
steve madden agree sandals,footwear,sandals, , ,tan,images/footwear/22.png,casual,feminine,,
rubberised sandals with buckle,footwear,sandals, , ,black,images/footwear/23.png,casual,neutral,,
black cross strap sporty sandals,footwear,sa dals, , ,black,images/footwear/24.png,casual,feminine,,
ankle strap footbed sandals,footwear,sandals, , ,cream,images/footwear/25.png,casual,femine,,
nylon knotted flatform,footwear,sandals, , ,cream,images/footwear/26.png,preppy,feminine,,
ballet flats,footwear,flats, , ,nude,images/footwear/27.png,casual,feminine,,
nine west women's speak up pointed toe flats,footwear,flats, , ,nude,images/footwear/28.png,casual,feminine,,
satin round toe evening flats,footwear,flats, , ,white,images/footwear/29.png,casual,femine,,
nude slingback sandals,footwear,sandals, , ,black,images/footwear/30.png,classic,feminine,,
nude ribbon flats,footwear,flats, , ,nude,images/footwear/31.png,casual,feminine,,
elegant pink leather pumps,footwear,heels, , ,pink,images/footwear/32.png,preppy,feminine,,
asymmetric strappy heeled sandals,footwear,heels, , ,cream,images/footwear/33.png,casual,feminine,,
sandals in crepe satin and rhinestones,footwear,heels, , ,black,images/footwear/34.png,casual,feminine,,
asymmetric strappy sandals,footwear,heels, , ,cream,images/footwear/35.png,classic,feminine,,
gold heeled sandals,footwear,sandals, , ,gold,images/footwear/36.png,casual,feminine,,
fleece lined up solid zip up hoodie,outerwear,jacket, , ,black,images/footwear/11.png,casual,neutral,,
black hooded jacket,outerwear,jacket,medium,rectangle,black,images/footwear/12.png,casual,neutral,,
prada nylon cropped jacket,outerwear,jacket,large,rectangle,black,images/footwear/13.png,casual,neutral,,
prada hooded leather jacket,outerwear,jacket,small,inverted triangle,black,images/footwear/14.png,casual,neutral,,
zip up plain loose jacket,outerwear,jacket,medium,rectangle,black,images/footwear/15.png,casual,neutral,,
women's oversized blazer,outerwear,blazer,large,pear-shaped, white,images/footwear/16.png,classic,feminine,,
regular-fit jacket with off-center closure,outerwear,blazer,medium,hourglass,pink,images/footwear/17.png,classic,feminine,,
men's fitted black trench coat,outerwear,coat,large,rectangle,grey,images/footwear/18.png,casual,masculine,,
mid heel boots,footwear,coat,large,rectangle,grey,images/footwear/18.png,casual,feminine,,
jacket with gathered sleeves,outerwear,coat,large,rectangle,black,images/footwear/19.png,classic,masculine,,
chester coat black,outerwear,coat,large,rectangle,black,images/footwear/20.png,classic,masculine,,
open back blazer,outerwear,blazer,small,rectangle,black,images/footwear/21.png,casual,masculine,,
belted crepe blazer,outerwear,blazer,small,inverted triangle,black,images/footwear/22.png,classic,feminine,,
corporate leather blazer,outerwear,blazer,large,pear-shaped,black,images/footwear/23.png,classic,feminine,,
shoulder pad double breasted blazer,outerwear,blazer,medium,inverted triangle,black,images/footwear/24.png,classic,feminine,,
women black cross bandage short blazer,outerwear,blazer,small,hourglass,black,images/footwear/25.png,casual,feminine,,
women saddle bag,accessory,handbag, , ,cream,images/accessory/61.png,casual,feminine,,
caramel brown brushed shoulder bag,accessory,handbag, , ,brown,images/accessory/62.png,vintage,feminine,,
chanel black lambskin bag,accessory,handbag, , ,black,images/accessory/63.png,classic,feminine,,
prada cleo brushed shoulder bag,accessory,handbag, , ,grey,images/accessory/64.png,classic,feminine,,
dior oblique messenger bag,accessory,handbag, , ,black,images/accessory/65.png,casual,neutral,,
school casual backpack,accessory,backpack, , ,black,images/accessory/66.png,casual,neutral,,
cama caramel backpack,accessory,backpack, , ,caramel,images/accessory/67.png,casual,neutral,,
the north face backpack,accessory,backpack, , ,black,images/accessory/68.png,casual,neutral,,
timbuk2 backpack,accessory,backpack, , ,blue,images/accessory/69.png,casual,neutral,,
large khaki backpack,accessory,backpack, , ,khaki,images/accessory/70.png,casual,neutral,,
washed hats olive,accessory,hat, , ,green,images/accessory/71.png,casual,neutral,,
neon buckle hat isolated,accessory,hat, , ,green,images/accessory/72.png,streetwear,neutral,,
jacquemus cotton logo hat,accessory,hat, , ,beige,images/accessory/73.png,casual,neutral,,
the north face white buckle hat,accessory,hat, , ,white,images/accessory/74.png,casual,neutral,,
fedora cap hat,accessory,hat, , ,cream,images/accessory/75.png,bohemian,neutral,,
london silk twill,accessory,scarf, , ,brown,images/accessory/76.png,bohemian,neutral,,
winter red scarf,accessory,scarf, , ,red,images/accessory/77.png,casual,neutral,,
simple star scarf mustard,accessory,scarf, , ,yellow,images/accessory/78.png,casual,neutral,,
leopard pattern hair scarf,accessory,scard, , ,white,images/accessory/79.png,casual,feminine,,
knit white scarf,accessory,scarf, , ,white,images/accessory/80.png,casual,neutral,,
shirring short sleeve t-shirt,top,shirt,small,inverted triangle,grey,images/top/21.png,casual,feminine,uniqlo,https://www.uniqlo.com/ph/en/products/E467046-000?colorCode=COL02&sizeCode=SMA003
halter neck bra sleeveless top,top,shirt,small,hourglass,beige,images/top/22.png,casual,feminine,uniqlo,https://www.uniqlo.com/ph/en/products/E470939-000?colorCode=COL11&sizeCode=SMA003
3d knit cotton long sleeve crew neck sweater,top,sweater,medium,hourglass,off-white,images/top/23.png,casual,feminine,uniqlo,https://www.uniqlo.com/ph/en/products/E461090-000?colorCode=COL01&sizeCode=SMA003
crew neck short sleeve t-shirt,top,shirt,medium,hourglass,beige,images/top/24.png,casual,feminine,uniqlo,https://www.uniqlo.com/ph/en/products/E424873-000?colorCode=COL52&sizeCode=SMA003
linen blend open collar short sleeve shirt,top,shirt,medium,rectangle-shaped,beige,images/top/25.png,casual,neutral,uniqlo,https://www.uniqlo.com/ph/en/products/E464739-000?colorCode=COL09&sizeCode=SMA002
ribbed high neck half sleeve t-shirt,top,shirt,medium,rectangle-shaped,grey,images/top/29.png,casual,feminine,uniqlo,https://www.uniqlo.com/ph/en/products/E467045-000?colorCode=COL07&sizeCode=SMA003
airism cotton cropped bra tube top,top,shirt,small,inverted triangle,white,images/top/30.png,casual,feminine,uniqlo,https://www.uniqlo.com/ph/en/products/E464437-000?colorCode=COL09&sizeCode=SMA003
airism cotton boat neck bra camisole,top,shirt,small,inverted triangle,white,images/top/31.png,casual,feminine,uniqlo,https://www.uniqlo.com/ph/en/products/E468736-000?colorCode=COL02&sizeCode=SMA003
sweat pullover long sleeve hoodie,top,hoodie,large,rectangle-shaped,grey,images/top/32.png,casual,neutral,uniqlo,https://www.uniqlo.com/ph/en/products/E444967-000?colorCode=COL05&sizeCode=SMA004
Sweat Long Sleeve Full-Zip Hoodie,top,hoodie,large,rectangle-shaped,grey,images/top/33.png,casual,neutral,uniqlo,https://www.uniqlo.com/ph/en/products/E460324-000?colorCode=COL05&sizeCode=SMA005
3D Knit Cotton Long Sleeve Crew Neck Sweater,top,sweater,medium,hourglass,blue,images/top/34.png,casual,neutral,uniqlo,https://www.uniqlo.com/ph/en/products/E466846-000?colorCode=COL56&sizeCode=SMA003
Linen Blend Volume Short Sleeve Blouse,top,blouse,small,inverted triangle,blue,images/top/35.png,casual,feminine,uniqlo,https://www.uniqlo.com/ph/en/products/E466432-000?colorCode=COL60&sizeCode=SMA003
Linen Blend Open Collar Short Sleeve Shirt,top,shirt,large,hourglass,pink,images/top/36.png,casual,feminine,uniqlo,https://www.uniqlo.com/ph/en/products/E467173-001?colorCode=COL11&sizeCode=SMA002
Linen Blend Open Collar Short Sleeve Shirt,top,shirt,large,hourglass,blue,images/top/37.png,casual,feminine,uniqlo,https://www.uniqlo.com/ph/en/products/E467173-000?colorCode=COL68&sizeCode=SMA002
Rayon Short Sleeve Blouse,top,shirt,large,inverted triangle,grey,images/top/38.png,casual,feminine,uniqlo,https://www.uniqlo.com/ph/en/products/E464721-000?colorCode=COL71&sizeCode=SMA003
Linen Blend Sleeveless Blouse,top,blouse,small,inverted triangle,pink,images/top/39.png,formal,feminine,uniqlo,https://www.uniqlo.com/ph/en/products/E470793-000?colorCode=COL12&sizeCode=SMA003
Linen Blend Band Collar Sleeve Shirt,top,shirt,large,inverted triangle,purple,images/top/40.png,formal,feminine,uniqlo,https://www.uniqlo.com/ph/en/products/E464735-000?colorCode=COL09&sizeCode=SMA002
Crew Neck Short Sleeve Sweater,top,sweater,medium,hourglass,white,images/top/41.png,casual,neutral,uniqlo,https://www.uniqlo.com/ph/en/products/E466969-000?colorCode=COL46&sizeCode=SMA004
Rayon Long Sleeve Blouse,top,blouse,small,inverted triangle,pink,images/top/42.png,formal,feminine,uniqlo,https://www.uniqlo.com/ph/en/products/E433604-000?colorCode=COL09&sizeCode=SMA004
Rayon Printed Short Sleeve Blouse,top,blouse,large,inverted triangle,white,images/top/43.png,formal,feminine,uniqlo,https://www.uniqlo.com/ph/en/products/E464722-000?colorCode=COL51&sizeCode=SMA003
Premium Linen Long Sleeve Shirt,top,shirt,large,inverted triangle,beige,images/top/44.png,formal,feminine,uniqlo,https://www.uniqlo.com/ph/en/products/E464732-000?colorCode=COL11&sizeCode=SMA003
Linen Blend Open Collar Short Sleeve Shirt,top,shirt,medium,inverted triangle,beige,images/top/45.png,formal,feminine,uniqlo,https://www.uniqlo.com/ph/en/products/E464739-000?colorCode=COL12&sizeCode=SMA002
AIRism Cotton Sleeveless Striped T-Shirt,top,shirt,medium,rectangle-shaped,grey,images/top/46.png,casual,masculine,uniqlo,https://www.uniqlo.com/ph/en/products/E470934-000?colorCode=COL01&sizeCode=SMA004
AIRism Cotton Sleeveless T-Shirt,top,shirt,medium,inverted triangle,grey,images/top/47.png,casual,neutral,uniqlo,https://www.uniqlo.com/ph/en/products/E457517-000?colorCode=COL11&sizeCode=SMA004
AIRism Cotton Relaxed Fit Half Sleeve T-Shirt,top,shirt,large,inverted triangle,grey,images/top/48.png,casual,masculine,uniqlo,https://www.uniqlo.com/ph/en/products/E467134-000?colorCode=COL36&sizeCode=SMA004
AIRism Cotton Crew Neck Long Sleeve T-Shirt,top,sweater,medium,inverted triangle,grey,images/top/49.png,casual,neutral,uniqlo,https://www.uniqlo.com/ph/en/products/E465193-000?colorCode=COL30&sizeCode=SMA004
DRY-EX Crew Neck Short Sleeve T-Shirt,top,shirt,large,inverted triangle,grey,images/top/50.png,casual,masculine,uniqlo,https://www.uniqlo.com/ph/en/products/E467543-000?colorCode=COL69&sizeCode=SMA003
DRY-EX Crew Neck Short Sleeve T-shirt (Light),top,shirt,medium,inverted triangle,gray,images/top/51.png,casual,masculine,uniqlo,https://www.uniqlo.com/ph/en/products/E467544-000?colorCode=COL56&sizeCode=SMA004
DRY-EX Crew Neck Short Sleeve T-Shirt,top,shirt,small,inverted triangle,black,images/top/52.png,casual,neutral,uniqlo,https://www.uniqlo.com/ph/en/products/E465191-000?colorCode=COL72&sizeCode=SMA004
Dry Color Ribbed Tank Top,top,shirt,small,inverted triangle,gray,images/top/53.png,casual,masculine,uniqlo,https://www.uniqlo.com/ph/en/products/E444998-000?colorCode=COL09&sizeCode=SMA004
Dry Pique Short Sleeve T-Shirt,top,shirt,large,inverted triangle,off-white,images/top/54.png,casual,masculine,uniqlo,https://www.uniqlo.com/ph/en/products/E469054-000?colorCode=COL69&sizeCode=SMA004
Graphic Short Sleeve T-Shirt,top,shirt,large,rectangle-shaped,white,images/top/55.png,casual,masculine,uniqlo,https://www.uniqlo.com/ph/en/products/E467104-000?colorCode=COL14&sizeCode=SMA004
Dry Color Crew Neck Short Sleeve T-Shirt,top,shirt,large,rectangle-shaped,gray,images/top/56.png,casual,masculine,uniqlo,https://www.uniqlo.com/ph/en/products/E465836-000?colorCode=COL03&sizeCode=SMA007
RF Short Sleeve Graphic T-Shirt,top,shirt,medium,inverted triangle,violet,images/top/57.png,casual,neutral,uniqlo,https://www.uniqlo.com/ph/en/products/E459254-000?colorCode=COL76&sizeCode=SMA003
